"","Composite.6","Composite.11","BC_Victoria","BC_Vancouver","AB_Calgary","AB_Edmonton","MB_Winnipeg","ON_Hamilton","ON_Toronto","X_Ottawa_Gatineau","QC_Montreal","QC_Quebec","NS_Halifax"
"1",0.641541102162514,0.619417450483596,0.690803465264831,0.760505026313229,0.7651934672727,0.629892729785944,0.508288897542865,0.660830226663907,0.676904071018834,0.497587615852424,0.447258435083641,0.332728422756405,0.510596605282028
"2",0.599254693466847,0.581961057079432,0.692291283242004,0.710760279038394,0.63070045068529,0.60642268537081,0.454334269347877,0.57760219566881,0.566756865772227,0.455453938895105,0.523134059041116,0.397081412168063,0.684678973801977
"3",0.80495673458018,0.779513301947043,0.856701249754375,0.949880525729319,0.900198411059856,0.805689039871751,0.62336351169296,0.718052246281818,0.732295178364968,0.645180264135463,0.747890922719772,0.586083408459169,0.956640648555097
"4",0.959778112720589,0.931170010229405,0.991087439013022,1.05767616824116,0.943374669109103,0.910240715310227,0.75701605469443,0.874545643456719,0.793716408548522,0.734583737785796,1.03833901151482,0.82154798868752,1.19098303708628
"5",1.34017988867508,1.30732303401585,1.15125900140214,1.1712173048899,1.19808025711349,1.13887655514337,0.958976571375565,1.0866653682222,1.03207250628422,1.0708317512535,1.88550806611324,1.85536255823337,1.44284051910179
"6",1.74211356069639,1.71980466875043,1.3162043664965,1.29985705697309,1.23719723886723,1.2536777316306,1.25424452187045,1.44320626536021,1.46052651397652,1.66482925653101,2.73462935297646,3.29971232247326,1.42262785414365
"7",1.25624297128164,1.30043690778335,1.32348100569135,1.21665722262633,1.29619933144435,1.41927735509416,1.67647860956336,1.40132522269162,1.42273991419585,1.68073912158613,0.983447982608392,1.1396302535985,1.35167677931988
"8",1.20304998747065,1.25560523656453,1.30912947130354,1.17537296830924,1.22739368050619,1.43712653266476,1.62713589673097,1.4283986385784,1.47376386220172,1.60575070598869,0.80776531805859,0.859810971127355,1.27851131511986
"9",0.941699099352342,0.972990559632171,1.04042015014967,0.996627520903756,1.13019139999,1.15759182916969,1.31323810398563,1.01915840249111,1.04497933545055,1.07411530210889,0.694322546481202,0.666663154288549,0.945389707296189
"10",0.893987689593869,0.914420097773284,0.947195344248211,0.940858278651687,0.99186433903964,1.03129652240736,1.11385477375077,1.01438202169169,1.00647606496626,0.932476705404057,0.717281257127242,0.707741628101393,0.853195232461391
"11",0.907143741956789,0.906568220691869,0.961002492596831,1.00137913054515,0.889887948953881,0.897827421614551,0.957038647822796,1.02495506823407,0.969327501367653,0.918845484130398,0.74593608582787,0.702750453995042,0.77857108015579
"12",0.710052418043101,0.710789455049038,0.720424730837526,0.719208517778746,0.78971880595827,0.712080881936772,0.75603014162232,0.750878700659448,0.820441777852666,0.719606116328552,0.674486962447653,0.630887426111373,0.584288247676063
